credit_score_brack,cred_hist_length_brack,loan_percent_income_brack,loan_int_rate_brack,loan_amnt_brack,person_income_brack,person_age_brack,person_gender,person_education,person_home_ownership,loan_intent,previous_loan_defaults_on_file,loan_status
fair,3,0-.09,<10,5k - 9.99k,90k,<30,female,High School,MORTGAGE,MEDICAL,Yes,0
fair,4,.1 - .19,<10,10k - 14.99k,"70k - 89,999",<30,male,Associate,RENT,EDUCATION,Yes,0
good,2,.1 - .19,<10,10k - 14.99k,90k,<30,female,Master,MORTGAGE,DEBTCONSOLIDATION,No,0
fair,3,.1 - .19,10 - 15,10k - 14.99k,"70k - 89,999",<30,male,Bachelor,RENT,VENTURE,Yes,0
fair,4,0-.09,10 - 15,<5k,90k,<30,female,Bachelor,MORTGAGE,VENTURE,No,1
poor,2,.1 - .19,10 - 15,10k - 14.99k,"70k - 89,999",<30,female,High School,RENT,EDUCATION,Yes,0
fair,2,.1 - .19,<10,10k - 14.99k,90k,<30,male,Associate,MORTGAGE,EDUCATION,Yes,0
good,4,0-.09,<10,5k - 9.99k,90k,<30,male,High School,MORTGAGE,MEDICAL,Yes,0
fair,4,0-.09,<10,5k - 9.99k,90k,<30,male,Master,MORTGAGE,MEDICAL,Yes,0
good,3,0-.09,10 - 15,5k - 9.99k,90k,<30,male,Bachelor,MORTGAGE,VENTURE,Yes,0
fair,4,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,High School,MORTGAGE,PERSONAL,Yes,0
good,2,.1 - .19,10 - 15,10k - 14.99k,"70k - 89,999",<30,female,Bachelor,RENT,PERSONAL,No,0
fair,4,0-.09,10 - 15,5k - 9.99k,90k,<30,male,Bachelor,MORTGAGE,MEDICAL,Yes,0
poor,2,0-.09,<10,<5k,90k,<30,female,Associate,MORTGAGE,MEDICAL,Yes,0
fair,4,0-.09,<10,10k - 14.99k,90k,<30,female,Bachelor,MORTGAGE,MEDICAL,Yes,0
poor,2,0-.09,10 - 15,10k - 14.99k,90k,<30,male,High School,MORTGAGE,PERSONAL,No,0
good,4,0-.09,10 - 15,10k - 14.99k,90k,<30,male,High School,MORTGAGE,VENTURE,No,0
fair,2,.1 - .19,10 - 15,15k - 19.99k,90k,<30,female,Bachelor,MORTGAGE,VENTURE,No,0
poor,4,0-.09,<10,5k - 9.99k,90k,<30,male,High School,MORTGAGE,VENTURE,Yes,0
fair,4,0-.09,10 - 15,5k - 9.99k,90k,<30,male,Associate,MORTGAGE,EDUCATION,No,1
fair,4,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,Bachelor,RENT,EDUCATION,Yes,0
fair,2,.1 - .19,<10,10k - 14.99k,90k,<30,female,Master,MORTGAGE,EDUCATION,No,0
poor,4,0-.09,10 - 15,5k - 9.99k,90k,<30,male,High School,MORTGAGE,EDUCATION,Yes,0
poor,2,.1 - .19,10 - 15,15k - 19.99k,90k,<30,male,Master,MORTGAGE,HOMEIMPROVEMENT,Yes,0
fair,2,.1 - .19,10 - 15,<5k,"30k - 49,999",<30,female,Bachelor,OWN,DEBTCONSOLIDATION,Yes,0
fair,2,0-.09,<10,10k - 14.99k,90k,<30,female,Master,MORTGAGE,EDUCATION,Yes,0
fair,3,0-.09,10 - 15,<5k,90k,<30,male,High School,MORTGAGE,EDUCATION,No,0
good,2,0-.09,<10,10k - 14.99k,90k,<30,female,Bachelor,MORTGAGE,VENTURE,Yes,0
good,2,0-.09,10 - 15,10k - 14.99k,90k,<30,male,Bachelor,OWN,MEDICAL,No,0
fair,3,.1 - .19,15+,10k - 14.99k,90k,<30,male,Associate,MORTGAGE,EDUCATION,No,0
fair,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,Associate,MORTGAGE,EDUCATION,Yes,0
good,4,0-.09,15+,10k - 14.99k,90k,<30,male,Associate,MORTGAGE,EDUCATION,Yes,0
fair,2,.2 - .29,15+,20k+,90k,<30,female,High School,MORTGAGE,DEBTCONSOLIDATION,No,1
fair,3,.2 - .29,10 - 15,20k+,90k,<30,male,Associate,MORTGAGE,DEBTCONSOLIDATION,No,0
fair,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,High School,RENT,HOMEIMPROVEMENT,Yes,0
fair,4,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,Associate,RENT,EDUCATION,No,0
poor,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,Associate,RENT,EDUCATION,Yes,0
fair,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,Associate,RENT,VENTURE,Yes,0
fair,4,0-.09,<10,5k - 9.99k,90k,<30,female,Bachelor,MORTGAGE,EDUCATION,Yes,0
fair,3,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,High School,MORTGAGE,MEDICAL,No,1
fair,2,0-.09,<10,10k - 14.99k,90k,<30,female,Bachelor,MORTGAGE,VENTURE,No,0
fair,3,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,Bachelor,MORTGAGE,MEDICAL,Yes,0
poor,4,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,Master,RENT,DEBTCONSOLIDATION,Yes,0
fair,3,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,Bachelor,MORTGAGE,VENTURE,Yes,0
good,2,0-.09,<10,5k - 9.99k,90k,<30,male,Bachelor,MORTGAGE,VENTURE,Yes,0
fair,4,.1 - .19,<10,10k - 14.99k,90k,<30,female,High School,RENT,PERSONAL,Yes,0
fair,3,0-.09,10 - 15,5k - 9.99k,90k,<30,male,Master,MORTGAGE,PERSONAL,No,0
fair,2,.1 - .19,<10,10k - 14.99k,90k,<30,female,Bachelor,MORTGAGE,MEDICAL,Yes,0
fair,2,.2 - .29,15+,20k+,90k,<30,male,Bachelor,MORTGAGE,VENTURE,Yes,0
poor,3,0-.09,<10,5k - 9.99k,90k,<30,female,High School,MORTGAGE,EDUCATION,Yes,0
fair,2,.1 - .19,<10,10k - 14.99k,90k,<30,female,Bachelor,MORTGAGE,HOMEIMPROVEMENT,Yes,0
poor,4,.1 - .19,<10,10k - 14.99k,90k,<30,male,Bachelor,MORTGAGE,VENTURE,Yes,0
fair,4,.1 - .19,<10,15k - 19.99k,90k,<30,male,Associate,MORTGAGE,MEDICAL,No,0
poor,2,0-.09,10 - 15,5k - 9.99k,90k,<30,female,Bachelor,MORTGAGE,EDUCATION,Yes,0
fair,3,0-.09,10 - 15,10k - 14.99k,90k,<30,male,High School,MORTGAGE,EDUCATION,Yes,0
poor,2,.2 - .29,15+,20k+,90k,<30,female,Bachelor,MORTGAGE,VENTURE,Yes,0
fair,4,0-.09,<10,5k - 9.99k,90k,<30,female,Bachelor,MORTGAGE,EDUCATION,Yes,0
fair,2,.1 - .19,<10,15k - 19.99k,90k,<30,male,Bachelor,MORTGAGE,PERSONAL,Yes,0
fair,3,.1 - .19,<10,10k - 14.99k,90k,<30,male,Bachelor,RENT,MEDICAL,No,0
good,3,.1 - .19,<10,10k - 14.99k,90k,<30,female,Master,RENT,HOMEIMPROVEMENT,Yes,0
fair,2,.1 - .19,<10,10k - 14.99k,90k,<30,female,Associate,RENT,HOMEIMPROVEMENT,Yes,0
poor,4,.2 - .29,10 - 15,20k+,90k,<30,male,High School,MORTGAGE,PERSONAL,No,1
good,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,Associate,RENT,MEDICAL,Yes,0
fair,4,.1 - .19,<10,10k - 14.99k,90k,<30,male,High School,OWN,HOMEIMPROVEMENT,Yes,0
fair,4,.1 - .19,<10,15k - 19.99k,90k,<30,male,High School,MORTGAGE,MEDICAL,No,0
fair,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,Bachelor,RENT,EDUCATION,Yes,0
fair,3,0-.09,<10,10k - 14.99k,90k,<30,female,Associate,MORTGAGE,HOMEIMPROVEMENT,Yes,0
fair,2,0-.09,<10,<5k,90k,<30,female,Associate,MORTGAGE,HOMEIMPROVEMENT,Yes,0
poor,4,0-.09,<10,5k - 9.99k,90k,<30,female,High School,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,2,.1 - .19,<10,15k - 19.99k,90k,<30,female,High School,MORTGAGE,VENTURE,No,0
fair,3,.1 - .19,<10,10k - 14.99k,90k,<30,female,High School,MORTGAGE,VENTURE,No,0
good,4,.1 - .19,15+,10k - 14.99k,90k,<30,female,Bachelor,RENT,EDUCATION,No,1
fair,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,Bachelor,RENT,VENTURE,Yes,0
fair,4,.1 - .19,<10,15k - 19.99k,90k,<30,male,Bachelor,MORTGAGE,EDUCATION,Yes,0
good,2,0-.09,10 - 15,5k - 9.99k,90k,<30,female,High School,MORTGAGE,PERSONAL,Yes,0
poor,4,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,High School,MORTGAGE,EDUCATION,Yes,0
fair,4,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,High School,RENT,VENTURE,Yes,0
fair,4,.1 - .19,<10,15k - 19.99k,90k,<30,male,Associate,MORTGAGE,EDUCATION,Yes,0
poor,2,.1 - .19,15+,10k - 14.99k,90k,<30,male,Bachelor,RENT,MEDICAL,No,1
poor,2,.1 - .19,<10,10k - 14.99k,90k,<30,male,Bachelor,MORTGAGE,EDUCATION,Yes,0
fair,3,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,Associate,MORTGAGE,PERSONAL,No,0
good,4,.1 - .19,15+,10k - 14.99k,90k,<30,female,Master,MORTGAGE,PERSONAL,No,0
good,2,0-.09,10 - 15,<5k,90k,<30,female,Master,MORTGAGE,DEBTCONSOLIDATION,Yes,0
good,3,0-.09,<10,5k - 9.99k,90k,<30,female,Bachelor,MORTGAGE,VENTURE,Yes,0
fair,4,.1 - .19,<10,10k - 14.99k,90k,<30,male,Master,RENT,MEDICAL,Yes,0
fair,3,.1 - .19,10 - 15,15k - 19.99k,90k,<30,female,High School,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,3,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,Bachelor,RENT,EDUCATION,No,1
fair,3,0-.09,10 - 15,5k - 9.99k,90k,<30,male,Bachelor,MORTGAGE,PERSONAL,No,0
fair,4,0-.09,<10,10k - 14.99k,90k,<30,male,Master,MORTGAGE,PERSONAL,Yes,0
fair,4,.1 - .19,<10,10k - 14.99k,90k,<30,female,Bachelor,MORTGAGE,EDUCATION,Yes,0
fair,2,.1 - .19,10 - 15,15k - 19.99k,90k,<30,female,Bachelor,MORTGAGE,DEBTCONSOLIDATION,No,0
fair,2,.1 - .19,<10,10k - 14.99k,90k,<30,female,High School,RENT,MEDICAL,Yes,0
fair,4,.2 - .29,10 - 15,20k+,90k,<30,male,High School,MORTGAGE,EDUCATION,No,0
fair,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,High School,RENT,DEBTCONSOLIDATION,No,0
fair,4,.1 - .19,<10,10k - 14.99k,90k,<30,male,Associate,RENT,MEDICAL,No,0
good,4,.2 - .29,10 - 15,20k+,90k,<30,male,Bachelor,MORTGAGE,EDUCATION,No,0
fair,3,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,High School,MORTGAGE,VENTURE,Yes,0
poor,3,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,Master,RENT,MEDICAL,Yes,0
fair,3,0-.09,<10,<5k,90k,<30,male,Bachelor,MORTGAGE,PERSONAL,Yes,0
poor,3,.1 - .19,10 - 15,15k - 19.99k,90k,<30,male,Associate,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,4,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,Associate,RENT,VENTURE,Yes,0
poor,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,Bachelor,MORTGAGE,EDUCATION,Yes,0
good,2,0-.09,10 - 15,10k - 14.99k,90k,<30,female,Bachelor,RENT,DEBTCONSOLIDATION,Yes,0
poor,4,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,High School,MORTGAGE,MEDICAL,Yes,0
fair,2,.2 - .29,15+,20k+,90k,<30,male,Bachelor,MORTGAGE,VENTURE,Yes,0
fair,2,.2 - .29,10 - 15,5k - 9.99k,"30k - 49,999",<30,male,Master,OWN,EDUCATION,No,0
poor,4,.2 - .29,10 - 15,20k+,90k,<30,male,Bachelor,OWN,HOMEIMPROVEMENT,Yes,0
fair,3,0-.09,<10,10k - 14.99k,90k,<30,female,Master,RENT,DEBTCONSOLIDATION,No,0
fair,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,High School,MORTGAGE,MEDICAL,No,0
fair,3,0-.09,10 - 15,10k - 14.99k,90k,<30,female,Associate,RENT,MEDICAL,Yes,0
fair,3,0-.09,<10,5k - 9.99k,90k,<30,female,High School,OWN,PERSONAL,Yes,0
good,4,0-.09,10 - 15,10k - 14.99k,90k,<30,male,Bachelor,RENT,VENTURE,Yes,0
fair,4,.1 - .19,15+,15k - 19.99k,90k,<30,male,High School,MORTGAGE,PERSONAL,Yes,0
fair,3,0-.09,10 - 15,5k - 9.99k,90k,<30,male,Master,MORTGAGE,EDUCATION,No,0
fair,4,.1 - .19,15+,10k - 14.99k,90k,<30,male,Associate,MORTGAGE,HOMEIMPROVEMENT,No,0
fair,2,.1 - .19,10 - 15,15k - 19.99k,90k,<30,male,High School,MORTGAGE,DEBTCONSOLIDATION,Yes,0
good,2,0-.09,<10,10k - 14.99k,90k,<30,male,Associate,RENT,HOMEIMPROVEMENT,Yes,0
fair,2,.2 - .29,15+,20k+,90k,<30,female,Master,MORTGAGE,DEBTCONSOLIDATION,No,1
fair,3,0-.09,10 - 15,<5k,90k,<30,male,Associate,OWN,VENTURE,No,0
good,2,.1 - .19,15+,10k - 14.99k,90k,<30,male,Bachelor,MORTGAGE,EDUCATION,Yes,0
fair,3,.2 - .29,10 - 15,20k+,90k,<30,female,Associate,MORTGAGE,HOMEIMPROVEMENT,No,0
good,4,0-.09,10 - 15,10k - 14.99k,90k,<30,female,High School,MORTGAGE,HOMEIMPROVEMENT,Yes,0
fair,3,.1 - .19,<10,10k - 14.99k,90k,<30,male,Bachelor,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,3,.3+,10 - 15,10k - 14.99k,"30k - 49,999",<30,male,High School,RENT,VENTURE,No,1
poor,2,0-.09,10 - 15,10k - 14.99k,90k,<30,female,Associate,MORTGAGE,EDUCATION,No,0
poor,3,0-.09,<10,5k - 9.99k,90k,<30,female,High School,MORTGAGE,PERSONAL,Yes,0
fair,4,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,High School,MORTGAGE,DEBTCONSOLIDATION,No,0
fair,2,.3+,10 - 15,10k - 14.99k,"30k - 49,999",<30,female,Bachelor,RENT,VENTURE,No,1
fair,2,.2 - .29,10 - 15,10k - 14.99k,"50k - 69,999",<30,female,Bachelor,RENT,PERSONAL,No,1
fair,3,0-.09,10 - 15,10k - 14.99k,90k,<30,male,High School,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,4,.1 - .19,<10,10k - 14.99k,90k,<30,male,High School,MORTGAGE,MEDICAL,Yes,0
poor,3,0-.09,10 - 15,10k - 14.99k,90k,<30,female,Bachelor,MORTGAGE,EDUCATION,Yes,0
poor,3,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,High School,MORTGAGE,VENTURE,Yes,0
fair,3,.2 - .29,10 - 15,20k+,90k,<30,male,Associate,MORTGAGE,VENTURE,No,0
poor,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,Associate,MORTGAGE,EDUCATION,Yes,0
good,2,.2 - .29,15+,20k+,90k,<30,male,Associate,MORTGAGE,EDUCATION,No,1
fair,2,.3+,<10,10k - 14.99k,"30k - 49,999",<30,male,Bachelor,RENT,MEDICAL,No,1
fair,2,.1 - .19,<10,5k - 9.99k,"30k - 49,999",<30,male,Bachelor,OWN,PERSONAL,Yes,0
fair,4,.2 - .29,10 - 15,20k+,90k,<30,male,Associate,MORTGAGE,MEDICAL,Yes,0
fair,4,0-.09,10 - 15,5k - 9.99k,90k,<30,female,Associate,MORTGAGE,PERSONAL,Yes,0
poor,3,.3+,<10,10k - 14.99k,"30k - 49,999",<30,male,High School,RENT,MEDICAL,No,1
fair,4,.3+,<10,10k - 14.99k,"30k - 49,999",<30,female,High School,OWN,EDUCATION,Yes,0
fair,4,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,Bachelor,MORTGAGE,EDUCATION,No,1
poor,3,0-.09,<10,<5k,"30k - 49,999",<30,male,Bachelor,OWN,VENTURE,No,0
fair,4,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,High School,OWN,MEDICAL,Yes,0
fair,3,0-.09,<10,5k - 9.99k,90k,<30,female,High School,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,3,0-.09,10 - 15,5k - 9.99k,90k,<30,male,Associate,MORTGAGE,DEBTCONSOLIDATION,No,0
fair,3,0-.09,10 - 15,5k - 9.99k,90k,<30,male,Associate,MORTGAGE,HOMEIMPROVEMENT,No,1
fair,3,.2 - .29,10 - 15,10k - 14.99k,"30k - 49,999",<30,female,Bachelor,RENT,DEBTCONSOLIDATION,No,1
fair,3,.1 - .19,<10,10k - 14.99k,90k,<30,male,High School,MORTGAGE,EDUCATION,Yes,0
fair,3,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,High School,RENT,PERSONAL,Yes,0
poor,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,Bachelor,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,4,.1 - .19,<10,10k - 14.99k,90k,<30,male,Bachelor,RENT,EDUCATION,No,0
fair,2,0-.09,<10,10k - 14.99k,90k,<30,male,Associate,RENT,PERSONAL,No,0
fair,4,.1 - .19,15+,15k - 19.99k,90k,<30,female,Associate,MORTGAGE,MEDICAL,No,1
good,4,.1 - .19,10 - 15,20k+,90k,<30,female,High School,MORTGAGE,PERSONAL,Yes,0
good,2,0-.09,<10,<5k,90k,<30,male,Associate,MORTGAGE,EDUCATION,No,1
good,2,.1 - .19,<10,10k - 14.99k,90k,<30,male,Master,MORTGAGE,MEDICAL,No,1
fair,4,0-.09,15+,10k - 14.99k,90k,<30,male,Bachelor,MORTGAGE,HOMEIMPROVEMENT,Yes,0
fair,3,.2 - .29,10 - 15,20k+,90k,<30,male,Master,OWN,HOMEIMPROVEMENT,Yes,0
good,4,.1 - .19,<10,15k - 19.99k,90k,<30,male,Associate,MORTGAGE,DEBTCONSOLIDATION,No,0
fair,4,.3+,15+,10k - 14.99k,"30k - 49,999",<30,female,High School,RENT,PERSONAL,No,1
fair,3,0-.09,10 - 15,5k - 9.99k,90k,<30,male,Associate,MORTGAGE,EDUCATION,Yes,0
fair,4,.1 - .19,10 - 15,20k+,90k,<30,male,Associate,MORTGAGE,EDUCATION,Yes,0
fair,4,0-.09,10 - 15,10k - 14.99k,90k,<30,female,Associate,MORTGAGE,MEDICAL,Yes,0
poor,4,0-.09,10 - 15,5k - 9.99k,90k,<30,male,Bachelor,MORTGAGE,MEDICAL,No,1
good,4,.3+,<10,10k - 14.99k,"30k - 49,999",<30,male,Associate,OWN,EDUCATION,No,0
poor,4,0-.09,<10,5k - 9.99k,90k,<30,male,High School,MORTGAGE,HOMEIMPROVEMENT,Yes,0
poor,2,.3+,10 - 15,10k - 14.99k,"30k - 49,999",<30,male,Master,RENT,PERSONAL,No,1
poor,2,.1 - .19,<10,15k - 19.99k,90k,<30,male,Associate,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,3,.1 - .19,10 - 15,15k - 19.99k,90k,<30,male,Master,MORTGAGE,EDUCATION,No,0
poor,3,.1 - .19,15+,15k - 19.99k,90k,<30,female,High School,MORTGAGE,PERSONAL,Yes,0
poor,2,.1 - .19,10 - 15,5k - 9.99k,"30k - 49,999",<30,male,Associate,OWN,MEDICAL,Yes,0
good,3,.3+,15+,10k - 14.99k,"30k - 49,999",<30,male,Associate,RENT,MEDICAL,No,1
good,4,.3+,15+,10k - 14.99k,"30k - 49,999",<30,female,Master,RENT,PERSONAL,No,1
fair,3,.1 - .19,<10,15k - 19.99k,90k,<30,female,Bachelor,MORTGAGE,PERSONAL,No,0
good,3,.2 - .29,10 - 15,20k+,90k,<30,female,Master,MORTGAGE,EDUCATION,No,0
fair,4,.2 - .29,10 - 15,10k - 14.99k,"50k - 69,999",<30,male,Associate,RENT,DEBTCONSOLIDATION,No,1
fair,4,.2 - .29,10 - 15,20k+,90k,<30,female,Associate,OWN,MEDICAL,Yes,0
poor,4,.2 - .29,15+,20k+,90k,<30,male,Associate,MORTGAGE,VENTURE,No,1
fair,4,.2 - .29,<10,10k - 14.99k,"50k - 69,999",<30,male,Associate,RENT,MEDICAL,No,1
poor,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,Associate,MORTGAGE,DEBTCONSOLIDATION,Yes,0
poor,2,.2 - .29,<10,10k - 14.99k,"50k - 69,999",<30,male,High School,RENT,DEBTCONSOLIDATION,No,1
fair,3,.1 - .19,<10,5k - 9.99k,"30k - 49,999",<30,male,Bachelor,OWN,VENTURE,Yes,0
fair,4,.1 - .19,10 - 15,20k+,90k,<30,male,Bachelor,MORTGAGE,EDUCATION,Yes,0
fair,3,0-.09,<10,5k - 9.99k,90k,<30,male,Associate,MORTGAGE,DEBTCONSOLIDATION,Yes,0
good,4,0-.09,<10,5k - 9.99k,90k,<30,male,Bachelor,MORTGAGE,PERSONAL,No,0
fair,3,0-.09,10 - 15,5k - 9.99k,90k,<30,male,High School,MORTGAGE,PERSONAL,Yes,0
fair,3,.2 - .29,10 - 15,10k - 14.99k,"50k - 69,999",<30,female,Associate,RENT,EDUCATION,No,1
poor,2,.2 - .29,10 - 15,10k - 14.99k,"50k - 69,999",<30,male,High School,RENT,DEBTCONSOLIDATION,Yes,0
fair,3,.1 - .19,<10,10k - 14.99k,90k,<30,male,High School,MORTGAGE,VENTURE,Yes,0
good,2,.2 - .29,15+,20k+,90k,<30,female,Bachelor,OWN,MEDICAL,Yes,0
poor,2,.2 - .29,10 - 15,10k - 14.99k,"50k - 69,999",<30,male,Bachelor,RENT,DEBTCONSOLIDATION,Yes,0
fair,3,0-.09,<10,5k - 9.99k,90k,<30,female,Master,MORTGAGE,EDUCATION,Yes,0
fair,4,.2 - .29,<10,10k - 14.99k,"50k - 69,999",<30,male,Bachelor,RENT,DEBTCONSOLIDATION,Yes,0
fair,4,.2 - .29,10 - 15,20k+,90k,<30,female,Master,MORTGAGE,DEBTCONSOLIDATION,No,0
fair,3,.2 - .29,10 - 15,10k - 14.99k,"50k - 69,999",<30,male,Master,RENT,HOMEIMPROVEMENT,No,1
good,3,.2 - .29,<10,20k+,90k,<30,male,Bachelor,MORTGAGE,PERSONAL,Yes,0
fair,4,0-.09,10 - 15,5k - 9.99k,90k,<30,male,Bachelor,OWN,MEDICAL,Yes,0
poor,3,.1 - .19,15+,10k - 14.99k,90k,<30,female,Master,MORTGAGE,MEDICAL,No,0
fair,2,.1 - .19,<10,20k+,90k,<30,male,High School,OWN,PERSONAL,Yes,0
fair,3,.2 - .29,15+,10k - 14.99k,"50k - 69,999",<30,female,High School,RENT,PERSONAL,No,0
fair,3,.1 - .19,<10,10k - 14.99k,90k,<30,female,Associate,MORTGAGE,PERSONAL,Yes,0
fair,4,.2 - .29,<10,10k - 14.99k,"50k - 69,999",<30,male,Associate,RENT,MEDICAL,Yes,0
poor,4,0-.09,<10,10k - 14.99k,90k,<30,female,Master,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,3,.1 - .19,<10,15k - 19.99k,90k,<30,male,Master,MORTGAGE,MEDICAL,Yes,0
fair,4,0-.09,<10,10k - 14.99k,90k,<30,male,High School,MORTGAGE,PERSONAL,Yes,0
good,3,.1 - .19,<10,10k - 14.99k,90k,<30,female,Associate,MORTGAGE,PERSONAL,No,1
fair,2,0-.09,10 - 15,5k - 9.99k,90k,<30,male,Associate,MORTGAGE,VENTURE,Yes,0
fair,3,0-.09,10 - 15,5k - 9.99k,90k,<30,female,High School,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,4,.2 - .29,10 - 15,10k - 14.99k,"70k - 89,999",<30,male,Bachelor,RENT,DEBTCONSOLIDATION,Yes,0
poor,2,0-.09,10 - 15,10k - 14.99k,90k,<30,male,Bachelor,MORTGAGE,EDUCATION,Yes,0
good,3,.2 - .29,<10,10k - 14.99k,"70k - 89,999",<30,male,High School,RENT,PERSONAL,Yes,0
good,2,0-.09,10 - 15,5k - 9.99k,90k,<30,male,Master,MORTGAGE,DEBTCONSOLIDATION,No,0
fair,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,female,Bachelor,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,3,.1 - .19,10 - 15,15k - 19.99k,90k,<30,male,Associate,MORTGAGE,EDUCATION,No,0
good,3,0-.09,10 - 15,5k - 9.99k,90k,<30,female,Bachelor,MORTGAGE,MEDICAL,Yes,0
poor,4,.2 - .29,10 - 15,10k - 14.99k,"50k - 69,999",<30,female,Bachelor,RENT,DEBTCONSOLIDATION,No,1
fair,3,.1 - .19,10 - 15,15k - 19.99k,90k,<30,female,Bachelor,MORTGAGE,VENTURE,Yes,0
good,2,0-.09,<10,5k - 9.99k,90k,<30,female,Associate,MORTGAGE,PERSONAL,No,0
fair,4,.1 - .19,10 - 15,15k - 19.99k,90k,<30,female,Bachelor,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,3,.1 - .19,10 - 15,10k - 14.99k,"70k - 89,999",<30,male,Associate,RENT,PERSONAL,Yes,0
good,2,.2 - .29,10 - 15,10k - 14.99k,"70k - 89,999",<30,male,High School,RENT,PERSONAL,No,0
fair,3,.2 - .29,10 - 15,20k+,90k,<30,male,High School,OWN,MEDICAL,No,0
poor,3,0-.09,10 - 15,5k - 9.99k,90k,<30,female,Bachelor,OWN,MEDICAL,Yes,0
fair,3,.1 - .19,10 - 15,10k - 14.99k,"70k - 89,999",<30,male,Master,RENT,DEBTCONSOLIDATION,No,0
fair,2,.1 - .19,<10,10k - 14.99k,"70k - 89,999",<30,female,Associate,RENT,MEDICAL,No,0
good,3,.1 - .19,10 - 15,15k - 19.99k,90k,<30,female,Associate,MORTGAGE,EDUCATION,No,0
poor,3,.1 - .19,<10,10k - 14.99k,90k,<30,male,High School,OWN,EDUCATION,Yes,0
fair,4,.1 - .19,10 - 15,10k - 14.99k,"70k - 89,999",<30,female,Master,RENT,EDUCATION,Yes,0
poor,4,.1 - .19,10 - 15,15k - 19.99k,90k,<30,female,Bachelor,MORTGAGE,VENTURE,No,1
fair,4,.1 - .19,10 - 15,10k - 14.99k,"70k - 89,999",<30,male,Associate,RENT,HOMEIMPROVEMENT,Yes,0
good,3,.1 - .19,10 - 15,10k - 14.99k,"70k - 89,999",<30,male,Bachelor,RENT,DEBTCONSOLIDATION,No,0
good,2,.1 - .19,10 - 15,10k - 14.99k,90k,<30,male,Associate,MORTGAGE,DEBTCONSOLIDATION,No,0
poor,4,.1 - .19,10 - 15,10k - 14.99k,"70k - 89,999",<30,male,Associate,RENT,PERSONAL,Yes,0
good,3,.1 - .19,15+,10k - 14.99k,"70k - 89,999",<30,female,Associate,RENT,PERSONAL,No,1
fair,2,.2 - .29,10 - 15,20k+,90k,<30,male,Bachelor,MORTGAGE,VENTURE,No,0
fair,2,.1 - .19,<10,10k - 14.99k,90k,<30,female,Master,MORTGAGE,EDUCATION,Yes,0
poor,2,.1 - .19,<10,15k - 19.99k,90k,<30,male,High School,MORTGAGE,DEBTCONSOLIDATION,Yes,0
fair,4,.1 - .19,<10,15k - 19.99k,90k,<30,male,Associate,MORTGAGE,VENTURE,No,0
fair,4,0-.09,10 - 15,5k - 9.99k,90k,<30,female,Bachelor,MORTGAGE,VENTURE,No,0
